loc,basic_plan,premium,teams,teams_no_time,enterprise,enterprise_no_time,trial_end,seven_day_pass_not_activated,seven_day_pass_end,mileage_only,expense_only,time_only
desc,basic plan user,paid single user,teams user,teams user without time,paid enterprise user,enterprise user without time product,trial expired user,user with 7 day pass not activated,user with 7 day pass expired,mileage_only user(with state mileage),expense only user,time only user
Dashboard->Overview,,Y,Y,Y,Y,Y,N,N,N,Y,,
Reports->Mileage Reports,,Y,Y,Y,Y,Y,N,N,N,Y,,
Maps->Heat Map,,Y,Y,Y,Y,Y,N,N,N,Y,,
Mileage->Trips,,Y,Y,Y,Y,Y,N,N,N,Y,,
Mileage->State Mileage,,N,N,N,,,N,N,N,Y,,
Expense->Transactions,,Y,Y,Y,Y,Y,N,N,N,N,,
Expense->Spending Limits,N,N,N,N,Y,Y,N,N,N,N,,
Time->Time Clock Calendar,,Y,Y,Y,Y,N,N,N,N,N,,
Integrations->ADP,,,N,N,,,,N,,,,
Integrations->Paychex,,,N,N,,,,,,,,
Integrations->Paylocity,,,N,N,,,,,,,,
Integrations->UKG Pro,,,N,N,,,,,,,,
Integrations->UKG Ready,,,N,N,,,,,,,,
Integrations->SAP Concur,,,Y,Y,,,,,,,,
Integrations->QuickBooks Online,,,Y,Y,,,,,,,,
Integrations->Xero,,,Y,Y,,,,,,,,
Integrations->Sage Intacct,,,N,N,,,,,,,,
Settings->Account Settings,,,Y,Y,,,,,,,,
Settings->Components,,,Y,Y,,,,,,,,
Settings->Notifications,,,Y,Y,,,,,,,,
Settings->Activities,,,Y,Y,,,,,,,,
Settings->Mileage Rates,,,Y,Y,,,,,,,,
Settings->Mileage Policies,,,N,N,,,,,,,,
Settings->Time Policies,,,Y,N,,,,,,,,
Settings->Tags & Notes,,,Y,Y,,,,,,,,
Settings->Custom Tags,,,N,N,,,,,,,,
Settings->Custom Fields,,,N,N,,,,,,,,
Settings->Advanced Settings,,,N,N,,,,,,,,
Mobile Bottom->Trips,,Y,Y,Y,Y,Y,N,N,N,Y,N,N
Mobile Bottom->Fuel,,Y,Y,Y,Y,Y,N,N,N,Y,N,N
Mobile Bottom->Submission,,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y
Mobile Bottom->Reports,,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y
Mobile Bottom->Transactions,,Y,Y,Y,Y,Y,,,,N,Y,N
Mobile Bottom->Time,,,,,Y,N,,,,N,N,Y
Mobile Bottom->Schedule,,,,,Y,N,,,,N,N,N
Mobile Bottom->Time Off,,,,,Y,N,,,,N,N,N
Mobile Left->Auto Start on,,Y,Y,Y,Y,Y,N,N,N,Y,N,
Mobile Left->Work Schedule,,Y,Y,Y,Y,Y,N,N,N,Y,N,
Mobile Left->Vehicles,,Y,Y,Y,Y,Y,N,N,N,Y,N,
Mobile Left->Send to Concur,,N,N,N,N,N,N,N,N,N,N,
Mobile Left->Locations,,Y,Y,Y,Y,Y,N,N,N,Y,Y,
Mobile Left->State Mileage,,N,N,N,Y,Y,N,N,N,Y,N,
Mobile Left->Approval Management,,N,N,N,Y,Y,N,N,N,Y,Y,
Mobile Left->Submission,,N,N,N,Y,Y,N,N,N,Y,Y,
Mobile Left->Navigate/Route Planning,,Y,Y,Y,Y,Y,N,N,N,Y,N,
Mobile Left->Frequent Trip Rules,,Y,Y,Y,Y,Y,N,N,N,Y,N,
Mobile Left->Adjust Odometer,,Y,Y,Y,Y,Y,N,N,N,Y,N,
Mobile Left->Mileage Rates,,Y,Y,Y,Y,Y,N,N,N,Y,N,
Mobile Left->Business Activities,,Y,Y,Y,Y,Y,N,N,N,Y,Y,
Mobile Left->Last Known Parking,,Y,Y,Y,Y,Y,N,N,N,Y,N,
Mobile Left->Banks & Credit Cards,N,Y,Y,Y,,,,,,N,Y,
Mobile Left->Invite Accountant,,Y,Y,Y,,,,,,N,N,
